edge_weight_type,bin_hull_frac,bin_pca_aspect,bin_nn_cv,instances,drift_count,mean_gap_percent,max_gap_percent,geom_risk_mean,drift_threshold_pct,drift_rate_percent,drift_rate_smoothed_percent_all,risk_score_all,drift_rate_smoothed_percent,risk_score,risk_low_n
ATT,0.2-0.35,2-4,0.3-0.6,1,0,0.7809559653744825,0.7809559653744825,0.12083333333333332,1.0,0.0,33.33333333333333,0.04027777777777777,,,True
EUC_2D,0-0.2,1-1.5,0-0.3,2,1,2.5018597939997305,4.064752451849226,0.3728322379375936,1.0,50.0,50.0,0.1864161189687968,,,True
EUC_2D,0-0.2,1-1.5,0.3-0.6,6,4,2.6874795029807412,8.393136327665077,0.3626107568434442,1.0,66.66666666666667,62.5,0.22663172302715262,62.5,0.22663172302715262,False
EUC_2D,0-0.2,1-1.5,0.6-1.0,2,1,2.436210722980581,4.016274477146732,0.48025642636306687,1.0,50.0,50.0,0.24012821318153343,,,True
EUC_2D,0-0.2,1.5-2,0-0.3,1,1,3.4509499806126405,3.4509499806126405,0.33190011727894103,1.0,100.0,66.66666666666666,0.22126674485262735,,,True
EUC_2D,0-0.2,1.5-2,0.3-0.6,1,1,5.153901216893343,5.153901216893343,0.34747298389749404,1.0,100.0,66.66666666666666,0.23164865593166267,,,True
EUC_2D,0-0.2,1.5-2,0.6-1.0,1,0,0.0,0.0,0.46140849684706187,1.0,0.0,33.33333333333333,0.15380283228235395,,,True
EUC_2D,0-0.2,2-4,0.3-0.6,2,1,2.658000646663446,4.813228997490034,0.27695652173913043,1.0,50.0,50.0,0.13847826086956522,,,True
EUC_2D,0-0.2,2-4,0.6-1.0,1,0,0.7232770011822797,0.7232770011822797,0.4345752390952611,1.0,0.0,33.33333333333333,0.14485841303175367,,,True
EUC_2D,0-0.2,2-4,1.0+,1,1,1.6603295310519646,1.6603295310519646,0.7146464646464646,1.0,100.0,66.66666666666666,0.4764309764309764,,,True
GEO,0-0.2,1.5-2,0.6-1.0,1,0,0.7317647485011501,0.7317647485011501,0.6038405591691071,1.0,0.0,33.33333333333333,0.20128018638970235,,,True
GEO,0-0.2,1.5-2,1.0+,1,1,3.568227091633466,3.568227091633466,0.7326037209006823,1.0,100.0,66.66666666666666,0.4884024806004548,,,True
GEO,0-0.2,2-4,1.0+,1,1,7.679424374401239,7.679424374401239,0.737987987987988,1.0,100.0,66.66666666666666,0.491991991991992,,,True
GEO,0.2-0.35,2-4,1.0+,1,1,1.240553258234707,1.240553258234707,0.4318181818181818,1.0,100.0,66.66666666666666,0.28787878787878785,,,True
GEO,0.35+,2-4,0.6-1.0,1,0,0.0,0.0,0.10298644013544798,1.0,0.0,33.33333333333333,0.03432881337848266,,,True
GEO,0.35+,2-4,1.0+,1,0,0.0,0.0,0.4,1.0,0.0,33.33333333333333,0.13333333333333333,,,True
