instance,n,BEST_ENVELOPE,CI,EDP_3SECT,EDP_LOCAL_3SECT,EXACT,FARTHEST_INSERTION,MF_EDP_ILS,NEAREST_INSERTION
a280,280,2656.0,2883.0,2656.0,2656.0,2579.0,2893.0,2668.0,2893.0
att48,48,10711.0,10936.0,10754.0,10754.0,10628.0,10978.0,10711.0,10978.0
berlin52,52,7542.0,8055.0,7542.0,7542.0,7542.0,8238.0,7542.0,8238.0
burma14,14,3323.0,3323.0,3323.0,3323.0,3323.0,3323.0,3323.0,3323.0
ch130,130,6191.0,6732.0,6424.0,6191.0,6110.0,6524.0,6214.0,6524.0
ch150,150,6751.0,7101.0,6893.0,6785.0,6528.0,6810.0,6751.0,6810.0
d198,198,16042.0,16295.0,16090.0,16417.0,15780.0,16352.0,16042.0,16352.0
eil101,101,641.0,669.0,644.0,655.0,629.0,649.0,641.0,649.0
eil51,51,430.0,447.0,434.0,434.0,426.0,443.0,430.0,443.0
eil76,76,541.0,555.0,553.0,549.0,538.0,578.0,541.0,578.0
gr202,202,41593.0,44547.0,41694.0,42731.0,40160.0,44383.0,41593.0,44383.0
gr666,666,316963.0,350874.0,318175.0,318175.0,294358.0,341722.0,316963.0,341722.0
gr96,96,55613.0,56551.0,57741.0,57741.0,55209.0,58534.0,55613.0,58534.0
kroA100,100,21305.0,21993.0,21305.0,21305.0,21282.0,21745.0,21389.0,21745.0
lin105,105,14434.0,14907.0,14434.0,14434.0,14379.0,14579.0,14483.0,14579.0
lin318,318,43717.0,47517.0,44657.0,44657.0,42029.0,45342.0,43717.0,45342.0
pcb442,442,52842.0,57141.0,53201.0,53201.0,50778.0,59249.0,52842.0,59249.0
pr1002,1002,280787.0,300940.0,280787.0,280787.0,259045.0,295933.0,280787.0,295933.0
pr76,76,109085.0,111640.0,110053.0,110053.0,108159.0,113008.0,109085.0,113008.0
rat575,575,7082.0,7657.0,7082.0,7082.0,6773.0,7533.0,7099.0,7533.0
st70,70,676.0,704.0,689.0,691.0,675.0,683.0,676.0,683.0
u724,724,44070.0,48817.0,44070.0,44070.0,41910.0,47048.0,44070.0,47048.0
ulysses16.tsp,16,6859.0,6859.0,6859.0,6859.0,6859.0,6859.0,6859.0,6859.0
ulysses22.tsp,22,7013.0,7114.0,7013.0,7013.0,7013.0,7013.0,7100.0,7013.0
